Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
1,2/5/2010,42.31,2.572,NA,NA,NA,NA,NA,211.0963582,8.106,FALSE
1,2/12/2010,38.51,2.548,NA,NA,NA,NA,NA,211.2421698,8.106,TRUE
1,2/19/2010,39.93,2.514,NA,NA,NA,NA,NA,211.2891429,8.106,FALSE
1,2/26/2010,46.63,2.561,NA,NA,NA,NA,NA,211.3196429,8.106,FALSE
1,3/5/2010,46.5,2.625,NA,NA,NA,NA,NA,211.3501429,8.106,FALSE
1,3/12/2010,57.79,2.667,NA,NA,NA,NA,NA,211.3806429,8.106,FALSE
1,3/19/2010,54.58,2.72,NA,NA,NA,NA,NA,211.215635,8.106,FALSE
1,3/26/2010,51.45,2.732,NA,NA,NA,NA,NA,211.0180424,8.106,FALSE
1,4/2/2010,62.27,2.719,NA,NA,NA,NA,NA,210.8204499,7.808,FALSE
1,4/9/2010,65.86,2.77,NA,NA,NA,NA,NA,210.6228574,7.808,FALSE
1,4/16/2010,66.32,2.808,NA,NA,NA,NA,NA,210.4887,7.808,FALSE
1,4/23/2010,64.84,2.795,NA,NA,NA,NA,NA,210.4391228,7.808,FALSE
1,4/30/2010,67.41,2.78,NA,NA,NA,NA,NA,210.3895456,7.808,FALSE
1,5/7/2010,72.55,2.835,NA,NA,NA,NA,NA,210.3399684,7.808,FALSE
1,5/14/2010,74.78,2.854,NA,NA,NA,NA,NA,210.3374261,7.808,FALSE
1,5/21/2010,76.44,2.826,NA,NA,NA,NA,NA,210.6170934,7.808,FALSE
1,5/28/2010,80.44,2.759,NA,NA,NA,NA,NA,210.8967606,7.808,FALSE
1,6/4/2010,80.69,2.705,NA,NA,NA,NA,NA,211.1764278,7.808,FALSE
1,6/11/2010,80.43,2.668,NA,NA,NA,NA,NA,211.4560951,7.808,FALSE
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
